class,alpha,transform,category,relative_error,cosine_similarity
heart,1.6,scale_0.8,scale,0.16123589178563527,0.9886218334074836
heart,1.6,scale_1.2,scale,0.137826265253704,0.9915767327721287
heart,1.7,translation_x10,translation,0.05546447621627278,0.9984692519505816
heart,1.7,translation_y10,translation,0.03135155055082286,0.9995119779409165
heart,1.7,rotation_10,rotation,0.12771878898025665,0.9918786746053763
heart,1.7,rotation_20,rotation,0.2416801947633687,0.9703861814170825
heart,1.7,scale_0.8,scale,0.16799401066207906,0.9897980029698136
heart,1.7,scale_1.2,scale,0.14188087650377823,0.9912918120388404
heart,1.8,translation_x10,translation,0.05555529449293186,0.9984705112797521
heart,1.8,translation_y10,translation,0.03019809014512748,0.9995471423594202
heart,1.8,rotation_10,rotation,0.11178946759874343,0.9937513932788296
heart,1.8,rotation_20,rotation,0.22072547085364214,0.9753634320148975
heart,1.8,scale_0.8,scale,0.18281460371051483,0.9894070007584042
heart,1.8,scale_1.2,scale,0.1472385234418878,0.9910160284817625
heart,1.9,translation_x10,translation,0.05675369732512071,0.998425445437945
heart,1.9,translation_y10,translation,0.03011647131280462,0.9995466588507961
heart,1.9,rotation_10,rotation,0.09887032836729749,0.9951012375611328
heart,1.9,rotation_20,rotation,0.19656579181253314,0.980508242496386
heart,1.9,scale_0.8,scale,0.20103695419849454,0.9873702115685197
heart,1.9,scale_1.2,scale,0.15360630648114637,0.9907874661370242
heart,2.0,translation_x10,translation,0.05851858874002526,0.9983682062682423
heart,2.0,translation_y10,translation,0.0309812437463317,0.9995224463737445
heart,2.0,rotation_10,rotation,0.09060462685974843,0.9958896879260046
heart,2.0,rotation_20,rotation,0.17241752138893374,0.9850313043292772
heart,2.0,scale_0.8,scale,0.21980107438964566,0.9841370957019078
heart,2.0,scale_1.2,scale,0.16076144832542705,0.9905817019659428
apple,0.6,translation_x10,translation,0.027644966515277966,0.9996703451997919
apple,0.6,translation_y10,translation,0.02186047154363971,0.9997610841523501
apple,0.6,rotation_10,rotation,0.07359284402880724,0.9972889184412278
apple,0.6,rotation_20,rotation,0.09733694091681641,0.9952573244883708
apple,0.6,scale_0.8,scale,0.2702022009812935,0.9649864218738544
apple,0.6,scale_1.2,scale,0.2771446526019383,0.9691907559180608
apple,0.7,translation_x10,translation,0.01554994388784663,0.9998959828749026
apple,0.7,translation_y10,translation,0.011959776920376398,0.999928492844246
apple,0.7,rotation_10,rotation,0.06454596326951319,0.9979237302746038
apple,0.7,rotation_20,rotation,0.0889434453162339,0.9960438006973504
apple,0.7,scale_0.8,scale,0.18285874134308064,0.9847741908896307
apple,0.7,scale_1.2,scale,0.22720131513274813,0.977450067649221
apple,0.8,translation_x10,translation,0.008044103987526492,0.9999713357969146
apple,0.8,translation_y10,translation,0.006336035288427762,0.9999799307692053
apple,0.8,rotation_10,rotation,0.06079577099787352,0.9981519334988898
apple,0.8,rotation_20,rotation,0.09214925434985112,0.9957576015549593
apple,0.8,scale_0.8,scale,0.11324273233393838,0.994162682090191
apple,0.8,scale_1.2,scale,0.19618732471951225,0.9820107744117287
apple,0.9,translation_x10,translation,0.002942848906289253,0.9999960573879323
apple,0.9,translation_y10,translation,0.001928802415198044,0.9999981402688823
apple,0.9,rotation_10,rotation,0.05264286011530331,0.9986146054994542
apple,0.9,rotation_20,rotation,0.08156631067478239,0.9966764366008491
apple,0.9,scale_0.8,scale,0.05142750583627609,0.9987858173279164
apple,0.9,scale_1.2,scale,0.14792208340317203,0.9891726847453862
apple,1.0,translation_x10,translation,1.4617032835848985e-05,0.9999999998958514
apple,1.0,translation_y10,translation,1.5862439177103502e-05,0.9999999998771719
apple,1.0,rotation_10,rotation,0.04575406343363854,0.9989541617969631
apple,1.0,rotation_20,rotation,0.07037633009421951,0.9975249308422447
apple,1.0,scale_0.8,scale,0.0018335155765887242,0.9999983570411172
apple,1.0,scale_1.2,scale,0.13487509648389828,0.9909103329895874
apple,1.1,translation_x10,translation,0.0014983592278544784,0.9999989943567957
apple,1.1,translation_y10,translation,0.000936862773881276,0.9999995626605536
apple,1.1,rotation_10,rotation,0.04574851299620955,0.9989530355081229
apple,1.1,rotation_20,rotation,0.07523400165256451,0.9971669872655625
apple,1.1,scale_0.8,scale,0.04442193976330132,0.9990949020756995
apple,1.1,scale_1.2,scale,0.11678906621476763,0.9931926563837853
apple,1.2,translation_x10,translation,0.002775485173740661,0.9999965521954433
apple,1.2,translation_y10,translation,0.001604201074523891,0.9999987133893613
apple,1.2,rotation_10,rotation,0.04390737414902337,0.9990370492907991
apple,1.2,rotation_20,rotation,0.07232661571332887,0.9973815119404743
apple,1.2,scale_0.8,scale,0.08707811650668622,0.9965410840595429
apple,1.2,scale_1.2,scale,0.10894131483697485,0.9940750951776427
apple,1.3,translation_x10,translation,0.0030935792957132815,0.9999957655473423
apple,1.3,translation_y10,translation,0.00148097997198615,0.9999989034682062
apple,1.3,rotation_10,rotation,0.037982092198315956,0.9992811076555788
apple,1.3,rotation_20,rotation,0.0687375131695401,0.997639963198535
